sample,gem,gc,ri,np.obs,np.2,size.cat,geo,j.w1,db.ft,s.ft,db.v,s.v,db.rs,s.rs,db.ft232,s.ft232,db.ft235,s.ft235,db.ft147,s.ft147,corr.ft,residual.ft,percent_diff.ft,corr.ft147,residual.ft147,percent_diff.ft147,corr.ft232,residual.ft232,percent_diff.ft232,corr.ft235,residual.ft235,percent_diff.ft235,corr.rs,residual.rs,percent_diff.rs,corr.v,residual.v,percent_diff.v,slope.ft,slope.ft147,slope.ft232,slope.ft235,slope.rs,slope.v
"BF16,2a2,7",B2,B,2,term2,term2,common,hexagonal,96.5,0.703669,0.7287968648169726,599154,679422.3951468479,46.67389712331768,49.54999587748371,0.652831,0.6822068623019031,0.659589,0.6882472045489438,0.901984,0.9115611999667221,1.0183394436458395,0.01222296684614832,1.677143170644395,1.0062030649061704,0.003982134670394877,0.4368477586080068,1.0224567555448398,0.014715396122809699,2.157028452214185,1.0219651105458702,0.014170259249103867,2.058890926900404,1.010768143576481,2.3735075286682417,4.790126591608457,1.1990861308192997,-39014.85647805873,-5.742356560034527,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,2a2,8",B1,B,1,term2,term2,common,hexagonal,97.8,0.750792,0.7508289537103825,1108820,1021092.0486735574,55.818360861663415,54.23347919072956,0.707842,0.7077233593306811,0.71323,0.7133173403773323,0.917359,0.9190563864784512,1.0183394436458395,-0.013732153863364682,-1.8289323814038199,1.0062030649061704,-0.003993050940808374,-0.4344729006354603,1.0224567555448398,-0.016014475427689412,-2.2628157198082124,1.0219651105458702,-0.015578835417298764,-2.183997855576851,1.010768143576481,-2.185941794896074,-4.030613243912497,1.1990861308192997,-308478.63490149844,-30.210658804191603,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,2a2,9",A2,A,2,term1,term2,common,hexagonal,89.8,0.67,0.6393558614374578,391185,420154.4204035767,41.77209616638868,36.60672721914901,0.616064,0.5788072150790463,0.623167,0.5866318773318436,0.889419,0.8809490256900362,1.0183394436458395,-0.0429315658052547,-6.71481539384531,1.0062030649061704,-0.013987098095744943,-1.5877306958582564,1.0224567555448398,-0.051091583568929844,-8.82704676754114,1.0219651105458702,-0.05022305471169475,-8.561255644702166,1.010768143576481,-5.615176876249919,-15.339193920926686,1.1990861308192997,-48910.087680971075,-11.64097896054284,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,2a2,10",A2,A,2,term2,term2,common,hexagonal,96.4,0.724122,0.7535173382795018,970467,1143122.0028740477,50.28804368674826,54.8871334470123,0.677198,0.710822608821904,0.683481,0.7163641367435751,0.909227,0.9199901487117101,1.0183394436458395,0.016115343667789217,2.138682529135323,1.0062030649061704,0.005123154616267556,0.5568705951299221,1.0224567555448398,0.018416938880449596,2.5909331880950264,1.0219651105458702,0.0178704010225732,2.494597385040503,1.010768143576481,4.057580885664784,7.392590268139886,1.1990861308192997,-20551.517243765527,-1.797841104632289,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"C50,2a3,4",B2,B,2,term0,term2,common,hexagonal,97.8,0.72971,0.7377880498855623,797507,1183505.0980319728,51.30910304858549,51.3553332249888,0.682396,0.6926223107891871,0.688589,0.6984802059076853,0.912701,0.9146153937262395,1.0183394436458395,-0.005304425537243196,-0.7189633307378671,1.0062030649061704,-0.003747149816687112,-0.40969677991322984,1.0224567555448398,-0.005098089367589376,-0.7360561864922479,1.0219651105458702,-0.005233727597984905,-0.7493022069513908,1.010768143576481,-0.5062736120043212,-0.9858248018493538,1.1990861308192997,227225.5151006655,19.199369354514342,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"FCT,2a3,8",A1,A,1,term0,term2,common,hexagonal,93,0.700665,0.7132143158423601,591982,904072.9554127064,46.193504962822054,46.700919133518006,0.649543,0.6641668790844026,0.656345,0.6705216994309745,0.90145,0.9062613189811239,1.0183394436458395,-3.004904397521102e-4,-0.04213185757456484,1.0062030649061704,-7.804338785433185e-4,-0.08611576619211019,1.0224567555448398,3.725071754079323e-5,0.00560863823744806,1.0219651105458702,-2.3999105025462875e-4,-0.035791690329827146,1.010768143576481,0.009995876955393612,0.021404026175192364,1.1990861308192997,194235.54951803572,21.484499492562282,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"FCT,2a3,9",A1,A,1,term1,term2,common,hexagonal,91.2,0.692548,0.7238088918665782,609298,842028.6597312203,44.91571360132934,48.633952223439486,0.639921,0.676409850148726,0.646574,0.6825538552893031,0.89967,0.909901646404032,1.0183394436458395,0.018559946848539233,2.564205421775952,1.0062030649061704,0.004650934999897771,0.5111470034457519,1.0224567555448398,0.022118300683716563,3.269955438829474,1.0219651105458702,0.02177778590321766,3.1906326122774678,1.010768143576481,3.2345797692109315,6.650867596263341,1.1990861308192997,111427.87839528266,13.233264344096195,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,2a4,1",B1,B,1,term1,term2,common,hexagonal,94.2,0.72977,0.7409509938342101,906568,1076574.9611581555,51.35558694597558,52.062845238167064,0.683326,0.6962584109795256,0.689424,0.7020559687078258,0.91292,0.91573059741772,1.0183394436458395,-0.0022025819552141668,-0.2972641879885245,1.0062030649061704,-0.0028523045964210514,-0.3114785728973456,1.0224567555448398,-0.0024128739599076354,-0.34654862646658774,1.0219651105458702,-0.002511305665150232,-0.35770733062385807,1.010768143576481,0.15425395850276402,0.2962841500442643,1.1990861308192997,-10478.15428643534,-0.9732860845252403,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,2a4,2",B1,B,1,term0,term2,common,hexagonal,96.5,0.719023,0.7215868743628405,743987,996586.0624204593,49.357715824302474,48.18381583332739,0.671665,0.6738604681142674,0.677763,0.6800463381069379,0.908762,0.9091032074378228,1.0183394436458395,-0.010622607425721853,-1.4721176067818016,1.0062030649061704,-0.005295902232438365,-0.5825413648428441,1.0224567555448398,-0.012887948598757415,-1.9125544839902955,1.0219651105458702,-0.012603801111962687,-1.8533738667056432,1.010768143576481,-1.705390961578324,-3.539343931326321,1.1990861308192997,104481.56921060104,10.483948466712581,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"FCT,2a4,5",A1,A,1,term0,term2,common,hexagonal,99.4,0.72988,0.7228972907797423,820851,1031028.9811076084,51.42148256443518,48.41610875020222,0.684475,0.6753797281270358,0.690963,0.6815389887837725,0.910416,0.9095395798612703,1.0183394436458395,-0.02036830234848297,-2.817592845937077,1.0062030649061704,-0.0065237896783456595,-0.7172628682460104,1.0224567555448398,-0.024466359624518375,-3.6226079352971583,1.0219651105458702,-0.024601089894333628,-3.6096379369630838,1.010768143576481,-3.5590877214023138,-7.351040414596409,1.1990861308192997,46757.93153845542,4.535074415485834,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"15MFS07,5a,2",B2,B,2,term0,term2,common,hexagonal,84.1,0.709682,0.6691742924378635,583455,598445.2556520244,47.6943385616414,40.10780670465259,0.660259,0.6133063193939657,0.666932,0.6205313861265078,0.904363,0.8911594922673851,1.0183394436458395,-0.05352288060760313,-7.9983468002953835,1.0062030649061704,-0.01881333012035391,-2.111106966104012,1.0224567555448398,-0.06177995556531468,-10.073262513642792,1.0219651105458702,-0.06104984898007049,-9.838317665308914,1.010768143576481,-8.100111342405867,-20.195847162757563,1.1990861308192997,-101167.54280515015,-16.905062217416198,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"15MFS07,5a,3",B2,B,2,term1,term2,common,hexagonal,91.2,0.669561,0.5899596393303673,370443,360137.72591161495,41.692929586501755,31.99234823795573,0.61481,0.5216760433118564,0.621912,0.5304903686059842,0.890348,0.8640516332397881,1.0183394436458395,-0.0918807368965846,-15.574071643421858,1.0062030649061704,-0.03181925319329093,-3.6825638618358565,1.0224567555448398,-0.10694059456466665,-20.499426020362197,1.0219651105458702,-0.10508199722381906,-19.808464666371265,1.010768143576481,-10.14953680045759,-31.724888479477652,1.1990861308192997,-84055.33764747891,-23.339775757929836,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"15MFS07,5a,4",C1,C,1,term2,term2,rare- large,ellipsoid,101.2,0.709827,0.7370723585830873,546426,634908.8046126316,47.683895938100356,53.090844984297746,0.659414,0.6903081535492578,0.666282,0.6963900295801404,0.902514,0.9163161052756641,1.0789940033409335,-0.028826717826397563,-3.9109752917356264,1.025249465210517,-0.008985890569340516,-0.9806540033078656,1.0962244132764534,-0.03255757170702134,-4.716382319928393,1.093844539589943,-0.032418897946925984,-4.655278876762727,1.1710832345305542,-2.750966105911175,-5.181620497328318,1.3282935307858121,-90905.31624053663,-14.317854088667028,0.9267892100453374,0.9753723692942063,0.912221975618247,0.9142066937362753,0.8539102691542371,0.7528456450498594
"15MFS07,5a,5",C2,C,2,term2,term2,common,ellipsoid,99.3,0.6298,0.7234343754014287,300076,537462.105092204,36.97176308431902,50.41754611728712,0.569071,0.6743892598638863,0.576688,0.6807637724801608,0.873219,0.9118884211654207,1.0789940033409335,0.043883952097308776,6.066058455261802,1.025249465210517,0.01662110840375819,1.8227129567580116,1.0962244132764534,0.050559736776241704,7.497114765209384,1.093844539589943,0.04995675263311583,7.33833888532482,1.1710832345305542,7.1205342182054565,14.123127297074015,1.3282935307858121,138873.09554812056,25.838676668059467,0.9267892100453374,0.9753723692942063,0.912221975618247,0.9142066937362753,0.8539102691542371,0.7528456450498594
